baseline	range	index_k	ef_construction	ef_max	build_seconds	space_usage_bytes	space_usage_source	ef_search	recall	avg_ms	qps	kpqs	avg_comps	valid_queries
serf_2d	100	16	80	300	13.166492	201818960	index_file_bytes	160	0.004000	0.005044	198255.352895	198.255353	0.353000	1000
serf_2d	1000	16	80	300	13.166492	201818960	index_file_bytes	160	0.092300	0.089628	11157.227652	11.157228	40.547000	1000
serf_2d	10000	16	80	300	13.166492	201818960	index_file_bytes	160	0.778700	0.500549	1997.806409	1.997806	483.136000	1000
serf_2d	100000	16	80	300	13.166492	201818960	index_file_bytes	160	0.976100	0.474477	2107.583718	2.107584	1337.494000	1000
serf_2d	1000000	16	80	300	13.166492	201818960	index_file_bytes	160	0.993800	0.886098	1128.543344	1.128543	3349.036000	1000
