baseline	range	ef	build_seconds	space_usage_bytes	space_usage_source	recall	avg_ms	qps	kpqs	avg_dco	avg_hops	valid_queries
irangegraph	100	160	371.390000	963578892	index_file_bytes	1.000000	0.072080	13873.473838	13.873474	94.366000	100.867000	1000
irangegraph	1000	160	371.390000	963578892	index_file_bytes	1.000000	0.230170	4344.614848	4.344615	707.289000	161.266000	1000
irangegraph	10000	160	371.390000	963578892	index_file_bytes	0.999400	0.343722	2909.327886	2.909328	1357.730000	162.486000	1000
irangegraph	100000	160	371.390000	963578892	index_file_bytes	0.989900	0.382386	2615.158507	2.615159	1630.110000	164.278000	1000
irangegraph	1000000	160	371.390000	963578892	index_file_bytes	0.990100	0.354844	2818.139801	2.818140	1797.957000	169.520000	1000
