baseline	range	index_k	ef_construction	ef_max	build_seconds	space_usage_bytes	space_usage_source	ef_search	recall	avg_ms	qps	kpqs	avg_comps	valid_queries
serf_2d	100	16	80	300	62.709558	133881872	index_file_bytes	160	0.001900	0.004876	205086.136177	205.086136	0.146000	1000
serf_2d	1000	16	80	300	62.709558	133881872	index_file_bytes	160	0.046800	0.070910	14102.383303	14.102383	23.494000	1000
serf_2d	10000	16	80	300	62.709558	133881872	index_file_bytes	160	0.427500	1.552153	644.266384	0.644266	848.148000	1000
serf_2d	100000	16	80	300	62.709558	133881872	index_file_bytes	160	0.670800	3.028908	330.151989	0.330152	2626.170000	1000
serf_2d	1000000	16	80	300	62.709558	133881872	index_file_bytes	160	0.837900	5.170928	193.388885	0.193389	4345.814000	1000
