baseline	range	ef	build_seconds	space_usage_bytes	space_usage_source	recall	avg_ms	qps	kpqs	avg_dco	avg_hops	valid_queries
irangegraph	100	160	1354.780000	978617388	index_file_bytes	1.000000	0.139244	7181.637979	7.181638	94.353000	100.854000	1000
irangegraph	1000	160	1354.780000	978617388	index_file_bytes	0.999400	0.759784	1316.163543	1.316164	834.372000	161.295000	1000
irangegraph	10000	160	1354.780000	978617388	index_file_bytes	0.991700	1.341308	745.540920	0.745541	1598.410000	162.913000	1000
irangegraph	100000	160	1354.780000	978617388	index_file_bytes	0.977900	1.418569	704.935749	0.704936	1703.467000	165.202000	1000
irangegraph	1000000	160	1354.780000	978617388	index_file_bytes	0.982800	1.391146	718.831812	0.718832	1736.409000	170.841000	1000
