baseline	range	index_k	ef_construction	ef_max	build_seconds	space_usage_bytes	space_usage_source	ef_search	recall	avg_ms	qps	kpqs	avg_comps	valid_queries
serf_2d	100	16	80	300	14.576793	215476048	index_file_bytes	160	0.002000	0.002768	361271.676301	361.271676	0.214000	1000
serf_2d	1000	16	80	300	14.576793	215476048	index_file_bytes	160	0.102700	0.086347	11581.178269	11.581178	44.361000	1000
serf_2d	10000	16	80	300	14.576793	215476048	index_file_bytes	160	0.817700	0.618861	1615.871739	1.615872	547.691000	1000
serf_2d	100000	16	80	300	14.576793	215476048	index_file_bytes	160	0.978500	0.729158	1371.444872	1.371445	1507.323000	1000
serf_2d	1000000	16	80	300	14.576793	215476048	index_file_bytes	160	0.998100	1.168435	855.845640	0.855846	3639.032000	1000
